Customer_id,Account Number,Age,Date of Birth,Sex,Occupation,City,Bank Deposit,Saving Accounts,Full name,City id,Account_Open_Date,Account Type,Account officer,Opening Balance,Transaction_id,Transaction type,Transaction Medium,Date_of_transaction,Amount,Bank Loans,Transaction Hour,Age_class
NZ39500,894921,69,1953-05-24 18:00:00,Female,Information_Technology_And_Software,Ogun,106324.34,78330.08,Tammy Dunn,Kwa-HR001,1976-05-25,Savings,Phillip Peters,44123.98,MT001,Money Transfer,Mobile,2021-02-18,8392.63,0,0.0,Senior
NZ59583,1827488,49,1973-05-24 18:00:00,Male,Writing_Content,Sokoto,426895.02,122822.76,Bobby Brooks,Kog-HR001,1997-05-25,Current,Shawn Cook,244722.66,CW001,Cash Withdrawal,Bank,2021-09-08,58019.35,0,12.0,Adult
NZ39056,2146153,22,2000-05-24 12:00:00,Female,Marketing_Sales_Customer,Lagos,397889.37,171502.63,Alice Gibson,Kog-HR001,1980-05-25,Corporate,Shawn Cook,327746.23,MD001,Money Deposit,Bank,2022-01-07,26743.5,0,18.0,Young Adult
NZ40270,3708695,68,1954-05-25 00:00:00,Female,Healthcare,Adamawa,569570.56,251867.45,Jean Austin,Ben-HR001,2008-05-25,Current,Roger Alexander,220825.6,MD001,Money Deposit,Bank,2022-02-24,8343.79,0,6.0,Senior
NZ85041,3816115,32,1990-05-25 00:00:00,Female,Healthcare,Anambra,288457.58,79108.5,Jack Meyer,Ana-HR001,1997-05-25,Domiciliary,Anthony Berry,358410.87,OP001,Online Payment,Mobile,2021-06-29,22603.5,0,18.0,Adult
NZ38974,4417230,75,1947-05-25 06:00:00,Male,Accounting_And_Finance,Plateau,383172.49,63598.73,Alice Watson,Enu-HR001,1985-05-25,Domiciliary,Paul Holmes,204540.48,MT001,Money Transfer,ATM,2021-11-08,53063.2,0,12.0,Old
NZ51069,4815836,45,1977-05-24 18:00:00,Male,Engineering,Osun,801883.53,326481.15,Jacqueline Watkins,Kan-HR001,1999-05-24,Corporate,Joshua Ryan,152813.06,MD001,Money Deposit,Bank,2022-01-07,11142.75,0,6.0,Adult
NZ45419,4969041,81,1941-05-24 18:00:00,Female,Information_Technology_And_Software,Kaduna,182272.44,143481.78,Kathryn Rose,Osu-HR001,1965-05-25,Domiciliary,Gregory Simmons,95144.48,MT001,Money Transfer,ATM,2022-01-05,13554.6,0,18.0,Old
NZ14798,5209569,37,1985-05-24 18:00:00,Male,HR_Admin,Kano,1717828.07,447638.41,Patrick Edwards,Bay-HR001,1966-05-24,Corporate,Shawn Wallace,19637.78,LP001,Loan Payment,ACH,2021-03-06,9527.23,243312676,12.0,Adult
NZ22943,5643565,74,1948-05-24 12:00:00,Male,Engineering,Lagos,364665.33,149780.43,Julia Nichols,Osu-HR001,1996-05-25,Current,James Castillo,52279.49,MD001,Money Deposit,Bank,2022-04-22,22587.84,0,12.0,Senior
